@relation jedit-4.3.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
2,3,0,9,16,1,1,9,2,2,113,0,0,0.933333,0.583333,0,0,55.500000,9,4.500000,-1
4,3,0,1,8,4,1,0,4,1,82,0,0,0.857143,0.350000,2,2,18.500000,1,0.750000,-1
18,1,0,16,55,0,11,8,13,0.647059,687,1,0,0,0.426471,0,0,36.888889,12,2.500000,1
6,6,0,4,36,1,1,4,1,0.887500,464,0.687500,0,0.992582,0.500000,3,5,73.666667,7,2.166700,-1
4,1,0,26,29,6,25,1,3,2,213,0,0,0,0.291667,0,0,52.250000,15,4.750000,-1
5,2,2,22,6,10,17,5,5,2,26,0,0,0.636364,0.900000,0,0,4.200000,1,0.800000,-1
5,1,1,14,13,10,4,10,5,1,34,1,1,0,0.292308,0,0,5.600000,1,0.800000,-1
51,4,0,22,125,1041,10,17,41,0.948333,1243,0.833333,6,0.928161,0.100490,3,20,22.666667,30,2.156900,-1
2,2,0,11,11,1,5,6,1,2,53,0,0,0.944444,0.625000,0,0,25.500000,1,0.500000,-1
89,2,0,141,269,3550,119,43,66,0.961230,2699,0.588235,2,0.570732,0.103620,1,10,28.943820,35,3.213500,-1
2,2,0,7,7,1,1,6,1,2,32,0,0,0.944444,0.625000,1,1,15,1,0.500000,-1
4,1,0,2,15,0,1,1,3,0.333333,54,1,0,0,0.750000,0,0,12.250000,4,1.500000,-1
9,1,3,16,14,28,16,2,8,0.916667,50,0.333333,1,0,0.296296,1,1,4.222222,3,1.111100,-1
11,4,0,0,26,55,0,0,11,1.100000,173,1,0,0.886076,0.257576,1,1,14.636364,4,1.454500,-1
7,1,0,8,15,1,4,4,7,0.416667,62,1,0,0,0.523810,0,0,7.571429,3,1.285700,-1
8,1,0,6,8,28,6,0,8,2,8,0,0,0,0.325000,0,0,0,1,1,-1
4,1,0,4,9,0,4,0,3,0.555556,49,1,0,0,0.555556,0,0,10.500000,2,0.750000,-1
9,2,4,16,56,24,6,11,3,1.062500,601,0.300000,3,0.428571,0.174603,0,0,63.555556,1,0.888900,-1
18,2,0,6,36,153,1,5,18,1.058824,84,0,0,0.500000,0.268519,1,5,3.611111,1,0.944400,-1
3,1,0,7,3,3,5,3,3,2,3,0,0,0,0.500000,0,0,0,1,1,-1
22,1,0,34,114,219,1,33,6,0.962406,2003,0,5,0,0.159091,0,0,89.181818,18,5.454500,-1
5,1,0,7,5,10,7,1,5,2,5,0,0,0,1,0,0,0,1,1,-1
4,1,0,3,12,0,1,2,4,0,37,1,0,0,0.500000,0,0,8,1,0.750000,-1
4,2,0,4,6,2,1,3,4,0.666667,26,1,0,0.500000,0.437500,0,0,5,1,0.750000,-1
8,1,0,16,17,22,16,0,4,1,160,0,0,0,0.500000,0,0,18.500000,8,2.125000,-1
1,1,0,12,2,0,10,2,1,2,16,0,1,0,1,0,0,12,0,0,-1
5,1,1,3,6,10,1,2,5,2,12,0,0,0,0.733333,0,0,1.400000,1,0.800000,-1
5,2,0,4,25,2,1,3,4,0.416667,301,1,0,0.250000,0.440000,0,0,58.600000,28,6.400000,-1
43,1,4,52,116,805,40,23,35,0.977513,962,0.277778,0,0,0.215873,0,0,20.953488,7,1.488400,-1
2,2,0,1,4,1,0,1,1,2,14,0,0,0.800000,0.666667,1,1,6,1,0.500000,-1
3,1,0,4,4,3,4,0,3,1.437500,23,0,2,0,0.500000,0,0,4,2,1,-1
4,1,0,3,22,6,2,2,2,2,105,0,0,0,0.666667,0,0,25.250000,4,2,-1
17,1,0,5,27,10,1,4,15,0.679688,709,1,1,0,0.388235,0,0,40.235294,17,3.529400,-1
6,1,0,3,20,0,3,3,4,0.600000,120,0.666667,1,0,0.416667,0,0,18.500000,3,1.666700,-1
75,1,2,58,156,2419,46,20,49,0.912484,1888,0.666667,5,0,0.106821,0,0,23.893333,6,1.720000,-1
5,7,0,11,57,0,2,9,2,0,438,1,1,0.995062,0.440000,4,10,86.400000,21,8.400000,-1
59,1,0,73,163,1389,60,23,47,0.800862,1844,0.250000,5,0,0.117647,0,0,29.915254,25,1.491500,-1
7,3,0,16,73,1,1,16,2,2,828,0,0,0.700000,0.238095,1,1,117.285714,6,1.571400,-1
4,3,0,10,43,4,1,10,2,2,405,0,0,0.823529,0.375000,1,1,100.250000,26,7.750000,-1
13,1,0,2,13,78,2,0,13,2,13,0,0,0,0.430769,0,0,0,1,1,-1
14,1,0,9,63,0,4,6,1,0.269231,721,0.500000,1,0,0.309524,0,0,50.357143,19,4.142900,-1
17,5,0,28,105,100,17,25,2,0.909722,590,1,3,0.976084,0.215686,0,0,33.176471,2,1,-1
4,1,0,7,54,4,1,7,3,1,318,1,0,0,0.500000,0,0,77.750000,9,4.500000,-1
25,1,1,9,60,62,6,6,19,0.729167,496,1,1,0,0.205714,0,0,18.600000,6,1.920000,-1
19,1,0,17,56,157,2,17,7,0.977778,401,1,2,0,0.342105,0,0,19.578947,12,2.894700,-1
22,1,3,24,47,231,19,9,18,1,322,0,1,0,0.227273,0,0,13.590909,5,1.681800,-1
33,1,4,47,67,444,41,10,31,0.929167,529,0.200000,0,0,0.215909,0,0,14.575758,9,1.818200,-1
16,1,0,167,55,58,166,2,8,0.873684,485,0.631579,1,0,0.161905,0,0,28.125000,7,2.312500,-1
4,1,0,3,5,6,1,2,3,1,15,0,1,0,0.533333,0,0,2.500000,1,0.500000,-1
13,2,0,5,35,6,3,2,9,0.333333,281,1,0,0.571429,0.564103,1,2,20.538462,4,1.846200,-1
3,1,0,13,4,3,12,3,2,1,16,0,2,0,0.666667,0,0,3.666667,1,0.666700,-1
7,7,1,7,41,21,3,5,6,2,220,0,0,0.995448,0.500000,2,2,30.428571,1,0.428600,-1
2,2,0,10,7,1,1,9,1,1,79,0,0,0.944444,0.625000,1,1,38,1,0.500000,-1
1,5,0,10,10,0,1,10,1,2,23,0,0,1,1,0,0,22,0,0,-1
2,1,0,3,3,0,1,2,2,0,12,1,1,0,0.750000,0,0,4.500000,1,0.500000,-1
2,5,0,4,24,0,2,2,0,0.333333,148,1,1,0.998471,0.750000,0,0,71.500000,4,2,-1
5,2,0,12,35,6,1,11,1,0.625000,221,0,0,0.809524,0.400000,1,1,42.800000,1,0.800000,-1
2,1,0,5,2,1,5,0,2,2,2,0,0,0,1,0,0,0,1,1,-1
8,6,0,6,31,20,3,5,1,0.761905,121,0.666667,1,0.991111,0.428571,4,12,13.750000,1,0.750000,-1
5,2,0,11,10,2,5,6,3,0.625000,128,0.250000,0,0.809524,0.440000,1,1,23.800000,3,1.600000,-1
21,5,0,20,99,130,6,19,5,0.816667,596,1,3,0.971182,0.323810,2,5,26.666667,10,1.714300,-1
8,1,0,15,43,14,6,11,7,0.821429,378,1,1,0,0.357143,0,0,45.750000,16,2.875000,-1
10,1,0,28,37,45,26,2,9,2,218,0,0,0,0.170000,0,0,20.800000,9,2.500000,-1
12,2,0,5,72,0,1,5,11,0.563636,525,1,1,0.266667,0.285714,1,1,42.333333,6,2.583300,-1
13,2,0,1,20,30,1,1,9,0.805556,115,1,0,0.571429,0.269231,0,0,7.384615,2,1.076900,-1
22,1,2,21,52,201,15,6,19,0.947619,411,0.900000,1,0,0.200000,0,0,17.227273,6,1.954500,-1
21,1,0,30,67,0,15,18,18,0.500000,411,1,1,0,0.287500,0,0,18.476190,6,1.333300,-1
5,2,0,7,22,4,1,6,2,0.500000,155,0,0,0.809524,0.366667,0,0,29.800000,10,4,-1
2,1,0,2,4,1,2,0,2,2,55,0,0,0,0.500000,0,0,26.500000,5,2.500000,-1
4,1,0,5,8,2,4,3,1,1,239,0.200000,3,0,0.500000,0,0,56.250000,6,3.250000,-1
3,1,0,28,3,3,28,0,3,2,3,0,0,0,1,0,0,0,1,1,-1
8,2,0,11,55,12,4,9,4,0.771429,388,1,0,0.897059,0.312500,0,0,46.875000,15,2.875000,-1
2,1,0,6,2,1,6,1,2,2,2,0,0,0,1,0,0,0,1,1,-1
10,1,0,10,44,23,7,3,10,0.805556,421,1,1,0,0.257143,0,0,40.700000,13,2.900000,-1
4,2,0,15,22,6,2,13,1,2,119,0,0,0.850000,0.437500,1,1,28.750000,1,0.750000,-1
3,1,0,5,3,3,5,0,3,2,3,0,0,0,0.666667,0,0,0,1,1,-1
17,1,0,3,82,106,0,3,13,0.562500,2224,1,0,0,0.184874,0,0,129.588235,46,8,-1
6,2,0,14,16,15,3,11,2,1,113,0,1,0.772727,0.466667,0,0,17.666667,2,1,-1
9,1,0,4,13,0,4,0,8,0.725000,104,0.200000,0,0,0.350000,0,0,10,3,0.777800,-1
5,1,0,11,5,10,11,1,5,2,5,0,0,0,0.666667,0,0,0,1,1,-1
8,1,0,12,16,12,6,6,7,0.750000,88,0.500000,0,0,0.285714,0,0,9.500000,2,1.125000,-1
1,3,0,2,2,0,2,0,1,2,5,0,0,1,1,0,0,4,0,0,-1
39,1,0,49,181,469,34,29,26,0.805556,2302,1,4,0,0.150641,0,0,57.564103,17,3.179500,-1
3,1,0,13,38,3,4,13,3,2,191,0,0,0,0.666667,0,0,62.666667,9,3.333300,-1
5,1,0,10,37,0,3,9,1,0.500000,203,0,0,0,0.360000,0,0,39.200000,1,0.800000,-1
4,2,0,10,8,4,4,6,2,0.666667,37,0,0,0.850000,0.500000,0,0,8,2,1,-1
41,1,0,25,120,820,15,17,14,2,1482,0,0,0,0.142276,0,0,35.146341,7,1.707300,-1
2,1,0,4,4,1,0,4,2,2,12,0,0,0,0.750000,0,0,5,1,0.500000,-1
14,6,0,7,56,51,2,7,1,0.890688,557,1,0,0.980938,0.500000,3,5,37.428571,5,1.428600,-1
8,5,0,5,33,0,4,1,8,0.571429,419,1,0,0.989394,0.625000,0,0,51,12,3.375000,-1
23,1,0,6,57,41,2,5,7,0.935993,1257,0.306122,10,0,0.222727,0,0,51.521739,12,3.043500,-1
15,5,0,27,107,67,17,25,2,0.907143,564,0.800000,4,0.980480,0.183673,0,0,35.933333,3,1.066700,-1
6,1,0,6,48,0,0,6,4,0.300000,290,1,0,0,0.200000,0,0,47,8,3.166700,-1
16,6,0,10,72,74,2,10,1,0.833333,557,1,6,0.978070,0.375000,2,4,33.187500,8,1.937500,-1
1,1,0,3,1,0,3,0,1,2,1,0,0,0,1,0,0,0,1,1,-1
351,1,0,51,443,41713,1,51,88,0.602857,12535,0.538462,8,0,0.126306,0,0,34.675214,18,2.809100,-1
3,2,0,12,20,3,1,11,1,1,294,0,0,0.894737,0.533333,1,1,96.666667,1,0.666700,-1
3,7,0,2,6,3,0,2,1,2,16,0,0,0.997089,0.666667,1,2,4.333333,1,0.666700,-1
4,2,0,4,17,6,2,3,4,2,86,0,0,0.928571,0.600000,1,1,20.500000,2,1,-1
7,1,0,0,48,21,0,0,3,2,333,0,0,0,0.285714,0,0,46.571429,3,1.285700,-1
1,2,0,18,2,0,16,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
17,5,23,25,39,102,23,2,14,0.734375,507,1,0,0.976084,0.470588,0,0,28.588235,3,1.235300,-1
18,1,0,13,94,39,4,11,9,0.705882,707,0.875000,0,0,0.111111,0,0,37.833333,14,2.555600,-1
3,1,0,3,8,0,3,0,3,0,24,0,0,0,0.666667,0,0,6.666667,1,0.666700,-1
3,2,0,6,16,1,1,5,3,0.500000,97,1,0,0.666667,0.428571,0,0,31,8,3.333300,-1
5,2,0,4,17,0,1,4,4,0.416667,109,1,2,0.500000,0.400000,0,0,20.200000,4,1.600000,-1
8,6,0,9,26,16,8,2,5,0.285714,105,1,0,0.992188,0.350000,1,2,12,2,1,-1
3,1,0,10,29,3,2,10,3,2,157,0,0,0,0.666667,0,0,51.333333,10,3.666700,-1
7,1,0,8,31,19,3,5,5,0.833333,159,0,0,0,0.208333,0,0,21.571429,5,1.857100,-1
44,1,0,49,156,632,15,39,32,0.773784,1802,1,4,0,0.104651,0,0,39.704545,30,3.250000,-1
